Society,Bibtext,Reference,Full_reference,D-PLACE,notes
C1_Roman_Empire,louis1927,Louis 1927,"Louis, P. 1927. Ancient Rome at Work. London: Kegan Paul, Trench, Trubner and Co.",,
C1_Roman_Empire,waterhouse1901,Waterhouse 1901,"Waterhouse, P. L. 1901. The Story of the Art of Building. New York: D. Appleton and Co.",,
C1_Roman_Empire,fowler1933,Fowler 1933,"Fowler, W. W. 1933. Social Life at Rome in the age of Cicero. New York: Macmillan.",,
C1_Roman_Empire,neuberger1948,Neuberger 1948,"Neuberger, A. 1948. The Technical Skills of the Roman. In C. S. Coon, A reader in General Anthropology, 516-539. New York: Henry Holt and Co.",,
C1_Roman_Empire,munshi1951,Munshi 1951,"Munshi, K. M. 1951. The Age of Imperial Unity. Bombay: S. Ramakrishnan.",,
C1_Roman_Empire,fresseandkirkyp1910,Fresse & Kirkyp 1910,"Fresse, J. H., Kirkyp, T. 1910. Hadrian. In Encyclopedia Britannica, Volume 12. Cambrdige: University Press.",,
C1_Roman_Empire,haverfield1910,Haverfield 1910,"Haverfield, F. J. 1910. Roman Army. In Encyclopedia Britannica, Volume 23. Cambrdige: University Press.",,
,,,,,
,,,,,
C6_Ashanti,dupuis1824,Dupuis 1824,"Dupuis, J. 1824. Journal of a Residence in Ashnatee. London: Henry Colburn.",,
C6_Ashanti,fortes1950,Fortes 1950,"Fortes, M. 1950. Kinship and Marriage Among the Ashanti. In Radcliffe-Brown, A. R. and Forde, D. (eds.), African Systems of Kinship and Marriage (pp. 252-284). London: Oxford University Press for the International African Institute.",https://d-place.org/sources/fortes1950,
C6_Ashanti,murdock1959,Murdock 1959,"Murdock, G. P. 1959. Africa: its Peoples and their Culture History. New York: McGraw-Hill.",https://d-place.org/sources/murdock1959 - different pages,
C6_Ashanti,rattray1923,Rattray 1923,"Rattray, R. S. 1923. Ashanti. Oxford: Clarendon Press.",https://d-place.org/sources/rattray1923,
C6_Ashanti,lystad1958,Lystad 1958,"Lystad, R. A. 1958. The Ashanti: A Proud People. New Brunswick: Rutgers University Press.",https://d-place.org/sources/lystad1958,
C6_Ashanti,busia1951,Busia 1951,"Busia, K. A. 1951. The position of the Chief in the Modern Political System of the Ashanti. London: Oxford University Press for the International African Institute.",https://d-place.org/sources/busia1951,
C6_Ashanti,rattray1929,Rattray 1929,"Rattray, R. S. 1929. Ashanti Law and Constitution. Oxford: Clarendon Press.",https://d-place.org/sources/rattray1929,
C6_Ashanti,rattray1927,Rattray 1927,"Rattray, R. S. 1927. Religion and Art in Ashanti. Oxford: Clarendon Press.",https://d-place.org/sources/rattray1927,
C6_Ashanti,ramseyerandkuhne1875,Ramseyer & Kühne 1875,"Ramseyer, F. A. & Kühne, J. 1875. Four Years in Ashantee. London : James Nisbet & Co.",,
C6_Ashanti,fortes1949b,Fortes 1949,"Fortes, M. 1949. Time and Social Structure: an Ashanti Case Study. In Fortes, M. (ed.), Social Structure (pp. 54-84). London.",https://d-place.org/sources/fortes1949b,
C6_Ashanti,ward1956,Ward 1956,"Ward, B. E. 1956. Some Observations on Religious Cults in Ashanti. Africa: Journal of the International African Institute 26(1), 47-61.",,
C6_Ashanti,wild1936,Wild 1936,"Wild, R. P. 1936. Iron Disc Currency from Ashanti. Man 36, 78-79.",,
C6_Ashanti,sinclair1939,Sinclair 1939,"Sinclair, G. E. 1939. A Method of Bead-Making in Ashanti. Man 39, 128.",,
C6_Ashanti,busia1954,Busia 1954,"Busia, K. A. 1954. The Ashanti. In Forde, M. (Ed.), African Worlds (pp. 190-209). London: Oxford University Press for the International African Institute.",https://d-place.org/sources/busia1954,
C6_Ashanti,matson1953,Matson 1953,"Matson, J. N. 1953. Testate Succession in Ashanti. Africa: Journal of the International African Institute 23(3), 224-232.",,
C6_Ashanti,bowdich1873,Bowdich 1873,"Bowdich, T. E. 1873. Mission from Cape Coast Castle to Ashantee, with a Descriptive Account of that Kingdom. London: Griffith & Farran.",,
C6_Ashanti,cardinall1927,Cardinall 1927,"Cardinall, A. W. 1927. In Ashanti and Beyond. London: Seeley, Service & Co.",,
C6_Ashanti,fuller1921,Fuller 1921,"Fuller, F. 1921. A Vanished Dynasty, Ashanti. London: John Murray.",,
C6_Ashanti,hambly1937,Hambly 1937,"Hambly, W. D. 1937. Source Book for African Anthropology. Chicago: Field Museum of Natural History.",,
C6_Ashanti,clarke1875,Clarke 1875,"Clarke H. 1875. On the Relations of Culture of the Ashantees. The Journal of the Anthropological Institute of Great Britain and Ireland 4, 122-126",,
C6_Ashanti,wilks1966,Wilks 1966,"Wilks, I. 1966. Aspects of Bureaucratization in Ashanti in the Nineteenth Century. Journal of African History 7(2), 215-232",,
C6_Ashanti,arhin1967,Arhin 1967,"Arhin, K. 1967. The Structure of Greater Ashanti. The Journal of African History 8(1), 65-85.",,
C6_Ashanti,kirby1884,Kirby 1884,"Kirby, B. 1884. A Journey into the Interior of Ashanti. Proceedings of the Royal Geographical Society and Monthly Record of Geography 6(8), 447-452.",,
C6_Ashanti,barter1896,Barter 1896,"Barter, S. 1896. Notes on Ashanti. Scottish Geographical Magazine 12(9), 441-458.",,
,,,,,
,,,,,
C20_Futuna,burrows1936,Burrows 1936,"Burrows, E. G. (1936). Ethnology of Futuna. Bernice P Bishop Museum Bulletin 138, 1-239.",https://d-place.org/sources/burrows1936,
,,,,,
,,,,,
C26_Mandan,bowers1950,Bowers 1950,"Bowers, A. W. 1950. Mandan Social and Ceremonial Organization. University of Chicago Press.",https://d-place.org/sources/bowers1950,
C26_Mandan,willandspinden1906,Will & Spinden 1906,"Will, G. F. & Spinden, H. J. 1906. The Mandans. Papers of the Peabody Museum 3(4). Cambridge, Mass.: The Museum.",https://d-place.org/sources/willandspinden1906,
C26_Mandan,deland1908,DeLand 1908,"DeLand, C. E. 1908. The Aborigines of South Dakota: The Mandan. South Dakota Historical Collections 4, 275-730.",,
C27_Callinago,taylor1938,Taylor 1938,"Taylor, D. 1938. The Caribs of Dominica. Bulletins of the Bureau of American Ethnology 119. Washington, D.C.: Smithsonian Institution.",https://d-place.org/sources/taylor1938,
C27_Callinago,taylor1946,Taylor 1946,"Taylor, D. 1946. Kinship and Social Structure of the Island Carib. Southwestern Journal of Anthropology 2. 180-212.",https://d-place.org/sources/taylor1946,
C27_Callinago,taylor1951,Taylor 1951,"Taylor, D. 1951. The Black Carib of British Honduras. Viking Fund Publ. Anth. 17. 1-176. New York: Viking Fund Publications in Anthropology, no. 17.",https://d-place.org/sources/taylor1951,
C27_Callinago,delaborde1886,de la Borde 1886,"de la Borde, P. 1886. History of the origin, customs, religion, wars and travels of the Caribs, Savages of the Antilles in America. Volume 5. Timehri.",,
C27_Callinago,rochefortnd,Rochefort [?],"Rochefort, C. [?]. Histoire Morale des Îles Antilles",,
C27_Callinago,rosny1886,Rosny 1886,"Rosny, L. 1886. Mémoires de la Société d'ethnographie. Volume 2. Paris.",,
C27_Callinago,labatnd,Labat [?],"Labat, J. B. [?]. Voyages.",,
C27_Callinago,loven1935,Lovén 1935,"Lovén S. 1935. Origins of the Tainan culture, West Indians. Go?teberg: Elanders boktryckeri aktiebolag.",,
C27_Callinago,ober1880,Ober 1880,Ober F. A. 1880. Camps in the Caribbees: The Adventures of a Naturalist in the Lesser Antilles. Boston: Lee and Shepard.,,
C27_Callinago,macnutt1912,MacNutt 1912,"MacNutt F. A, 1912. De Orbe Novo: The Eight Decades of Peter Martyr D'Anghera. New York: G.P. Putnam's Sons.",,
C27_Callinago,rouse1948a,Rouse 1948a,"Rouse, I. 1948a. The Arawak In J. H. Steward (Ed.), Handbook of South American Indians: The Circum-Caribbean Tribes (pp. 507-546). Washington, D.C.: Smithsonian Institution.",https://d-place.org/sources/rouse1948a ,incollection - instead of article
C27_Callinago,rouse1948b,Rouse 1948b,"Rouse, I. 1948b. The Carib. In J. H. Steward (Ed.), Handbook of South American Indians: The Circum-Caribbean Tribes (pp. 547-565). Washington, D.C.: Smithsonian Institution.",https://d-place.org/sources/rouse1948b ,incollection - instead of article
C27_Callinago,steward1948,Steward 1948,"Steward, J. H. 1948. The Circum-Caribbean Tribes: An Introduction. In J. H. Steward (Ed.), Handbook of South American Indians: The Circum-Caribbean Tribes (pp. 1-41). Washington, D.C.: Smithsonian Institution.",,
C27_Callinago,dutertre1667,Du Tertre 1667,"Du Tertre, J. B. 1667. Histoire générale des Antilles habitées par les François.",https://d-place.org/sources/dutertre1667,
C28_Trobriands,malinowski1922,Malinowski 1922,"Malinowski, B. 1922. Argonauts of the Western Pacific. London: George Routledge and Sons.",https://d-place.org/sources/malinowski1922,
C28_Trobriands,malinowski1926,Malinowski 1926,"Malinowski, B. 1926. Crime and Custom in Savage Society. New York: Harcourt, Brace.",https://d-place.org/sources/malinowski1926,
C28_Trobriands,malinowski1929,Malinowski 1929,"Malinowski, B. 1929. The Sexual Life of Savages in Northwestern Melanesia. New York: Horace Liveright.",https://d-place.org/sources/malinowski1929,
C28_Trobriands,malinowski1920,Malinowski 1920,"Malinowski, B. 1920. War and weapons among the natives of the Trobriand Islands. Man 20, 10-12.",https://d-place.org/sources/malinowski1920,article instead of book
C28_Trobriands,malinowski1935,Malinowski 1935,"Malinowski, B. 1935. Coral Gardens and Their Magic. New York: American Book Company.",https://d-place.org/sources/malinowski1935,
C28_Trobriands,malinowski1954,Malinowski 1954,"Malinowski, B. 1954. Magic, science and religion, and other essays. Garden City, N.Y.: Doubleday.",,
C28_Trobriands,seligmann1910,Seligmann 1910,"Seligmann, G. G. 1910. Melanesians of British New Guinea. Cambridge: University Press.",https://d-place.org/sources/seligmann1910,
C29_Kiwai,landtman1927,Landtman 1927,"Landtman, G. 1927. The Kiwai Papuans of British New Guinea. London: MacMillan.",https://d-place.org/sources/landtman1927,
C29_Kiwai,beaver1920,Beaver 1920,"Beaver, W. N. 1920. Unexplored New Guinea. Philadelphia: J. P. Lipincott.",,
C30_Mala,ivens1928,Ivens 1928,"Ivens, W. G. (1928). The Island Builders of the Pacific. Philadelphia: J. B. Lippincott.",https://d-place.org/sources/ivens1930,
C30_Mala,russell1950,Russell 1950,"Russell, T. (1950). The Fataleka of Malaita. Oceania 21(1), 1-13.",,
C31_Hottentots,schapera1930,Schapera 1930,"Schapera, I. (1930). The Khoisan Peoples of South Africa: Bushmen and Hottentots. London: George Routledge and Sons.",https://d-place.org/sources/schapera1930,
C31_Hottentots,schapera1956,Schapera 1956,"Schapera, I. (1956). Government and politics in tribal societies. London: Watts.",,
C32_Navajo,curtis1907,Curtis 1907,"Curtis, E. S. (1907). The North American Indian. Volume 1. Cambridge: The University Press.",,
C32_Navajo,reichard1950,Reichard 1950,Reichard G. A. (1950). Navaho religion: a study of symbolism. Volumes 1-2. New York: Pantheon Books.,,
C32_Navajo,kluckhohnandleighton1962,Kluckhohn & Leighton 1962,"Kluckhohn, C. & Leighton, D. C. (1962). The Navaho. Garden City, NY: Doubleday.",https://d-place.org/sources/kluckhohnandleighton1946,
C32_Navajo,reichard1928,Reichard 1928,"Reichard, G. A. (1928). Social Life of the Navajo Indians. Columbia University Contributions to Anthropology 7. New York:  Columbia University Press.",https://d-place.org/sources/reichard1928,
C32_Navajo,franciscanfathers1910,Franciscan Fathers 1910,"Franciscan Fathers (1910). An ethnologic dictionary of the Navaho language. Saint Michaels, Ariz.: Franciscan Fathers.",,
C32_Navajo,hill1936,Hill 1936,"Hill, W. W. (1936). Navaho warfare. New Haven: Yale University Press.",,
C32_Navajo,dyk1947,Dyk 1947,"Dyk, W. (1947). A Navaho autobiography. Viking Fund Publications in Anthropology. New York.",,
,,,,,
,,,,,
C34_Manobo,garvan1931,Garvan 1931,"Garvan, J. M. 1931. The Manóbos of Mindanáo. Memoirs of National Academy of Sciences 23. Washinton, D.C.: National Academy of Science.https://d-place.org/sources/garvan1931",https://d-place.org/sources/garvan1931,slightly different title
,,,,,
,,,,,
C36_Todas,rivers1932,Rivers 1932,"Rivers, W. H. R. (1932). The Todas. London: Macmillan and Co. Ltd.",https://d-place.org/sources/rivers1906,
C36_Todas,murdock1934,Murdock 1934,"Murdock, G. P. (1934). The Todas of Southern India. In Our Primitive Contemporaries (pp. 107-134). New York: Macmillan.",https://d-place.org/sources/murdock1934b,"incollection instead of book, specific chapter"
C36_Todas,marshall1873,Marshall 1873,"Marshall, W. E. (1873). Travels amongst the Todas. London: Longmans, Green and Co.",https://d-place.org/sources/marshall1873,different book
C36_Todas,thurston1909,Thurston 1909,"Thurston, E. (1909). Toda. In Castes And Tribes Of Southern India, Volume 7 (pp. 116-167). Madras: Government Press.",,
C37_Nuer,evanspritchard1940b,Evans-Pritchard 1940,"Evans-Pritchard, E. E. (1940). The Nuer. Oxford: Clarendon Press.",https://d-place.org/sources/evanspritchard1940b,
C37_Nuer,seligmanandseligman1932,Seligman & Seligman 1932,"Seligman, C. S. & Seligman, B. Z. (1932). Pagan tribes of the Nilotic Sudan. London: George Routledge & Sons, Ltd.",https://d-place.org/sources/seligmanandseligman1932,
C37_Nuer,evanspritchard1956,Evans-Pritchard 1956,"Evans-Pritchard, E. E. (1956). The Nuer Religion. Oxford: Clarendon Press.",,
C37_Nuer,howell1954,Howell 1954,"Howell, P. P. (1954). A manual of Nuer law. London: Oxford University Press.",,
C37_Nuer,santandrea1944,Santandrea 1944-1945,"Santandrea, S. (1944-1945). The Luo of the Bahr el Ghazal. In ""Annali Lateranensi"" (various volumes)",,
C38_Tolowa,gouldperscommnd,Gould ??,"Gould, R. A.  pers.comm. ??",https://d-place.org/sources/gouldperscomm1992,different communication withou year
,,,,,
C40_Omaha,fletcherandlaflesche1911,Fletcher & La Flesche 1911,"Fletcher, A. C. & La Flesche, F. (1911). The Omaha Tribe. Annual Reports of the Bureau of American Ethnology 27. 17-672.",https://d-place.org/sources/fletcherandlaflesche1911,
C40_Omaha,bushnell1927,Bushnell 1927,"Bushnell, D. I. (1927). Burials of the Algonquian, Siouan and Caddoan tribes west of the Mississippi. Washington: Smithsonian Institution.",,
C40_Omaha,dorsey1896,Dorsey 1896,"Dorsey, J. O. (1896). Omaha dwelling, furniture, and implements. Thirteenth annual report of the Bureau of Ethnology, 1891-92, 263-288.",,
C40_Omaha,dorsey1894,Dorsey 1894,"Dorsey, J. O. (1894). A study of Siouan cults. Eleventh annual report of the Bureau of Ethnology, 1889-1890, 351-544.",,
C40_Omaha,dorsey1884,Dorsey 1884,"Dorsey, J. O. (1884). Omaha Sociology. Annual Reports of the Bureau of American Ethnology 3. 205-320.",https://d-place.org/sources/dorsey1884,
C40_Omaha,lowie1954,Lowie 1954,"Lowie, R. H. (1954). Indians of the Plains. New York: American Museum of Natural History.",,
C40_Omaha,bushnell1922,Bushnell 1922,"Bushnell, D. I. (1922). Villages of the Algonquian, Siouan and Caddoan tribes west of the Mississippi. Washington: Smithsonian Institution.",https://d-place.org/sources/bushnell1922,
C40_Omaha,james1823,James 1823,"James, E. (1823). Account of an Expedition from Pittsburgh to the Rocky Mountains, performed in the years 1819, 1820. London: Longman, Hurst, Rees, Orme and Brown.",,
C41_Delaware,newcomb1956,Newcomb 1956,"Newcomb, W. W. Jr. (1956). The Culture and Acculturation of the Delaware. Anth. Pap. Mus. Anth. Univ. Michigan 10. 1-141.",https://d-place.org/sources/newcomb1956,
C41_Delaware,harrington1921,Harrington 1921,"Harrington, M. R. (1921). Religion and Ceremonies of the Lenape. Heye Foundation.",,
C41_Delaware,skinner1909,Skinner 1909,"Skinner, A. (1909). The Lenape Indians of Staten Island. Anthr. Papers Amer. Mus. Nat. His vol. 3, New York.",,
C41_Delaware,wallace1947a,Wallace 1947,"Wallace, A. F. C. (1947). Woman, Land, and Society: Three Aspects of Aboriginal Delaware Life. Pennsylvania Archaeologist 17. 1-35.",https://d-place.org/sources/wallace1947a,
C41_Delaware,macleod1922,MacLeod 1922,"MacLeod, W. C. (1922). The Family Hunting Territory and Lenápe Political Organization. American Anthropologist 24(4), 448-463.",,
C42_Tupinamba,lerynd,Léry [?],"Léry, J [?]. Histoire d'un voyage faict en la terre du Brésil.",https://d-place.org/sources/lery1880,
C42_Tupinamba,abbeville1614,Abbeville 1614,"Abbeville, C. d'. 1614. Histoire de la Mission des Peres Capucins en l'Isle de Maragnan et terres circonuoisines. Paris: L'Imprimérie de François Huby.",https://d-place.org/sources/abbeville1614,
C42_Tupinamba,metraux1948c,Métraux 1948,"Metraux, A. 1948. The Tupinamba. In J. H. Steward (Ed.), Handbook of South American Indians: The Tropical Forest Tribes (pp. 95-133). Washington: Smithsonian Institution.",https://d-place.org/sources/metraux1948c,incollection instead of misc
C42_Tupinamba,staden1928,Staden 1928,"Staden, H. 1928. The True Story of His Captivity. London: G. Routledge & Sons.",https://d-place.org/sources/staden1928,
C42_Tupinamba,pinto1938,Pinto 1938,"Pinto, P. 1938. Os Indigenas do nordeste. Volume 2. Sao Paulo.",,
C42_Tupinamba,metraux1950,Métraux 1950,"Metraux, A. 1950. A religião dos Tupinambás. Sao Paulo.",,
C43_Cayapa,barrett1925,Barrett 1925,"Barrett, S. A. 1925. The Cayapa Indians of Ecuador. Volumes 1-2. Indian Notes and Monographs 40. 1-476. New York: Haye Foundation.",https://d-place.org/sources/barrett1925,
,,,,,
,,,,,
C45_Kutenai,chamberlain1892,Chamberlain 1892,"Chamberlain, A. F. (1892). Report on the Kootenay Indians of South-Eastern British Columbia. Reports of the British Association forthe Advancement of Science 62, 549-617.",https://d-place.org/sources/chamberlain1892,
C45_Kutenai,turneyhigh1941,Turney-High 1941,"Turney-High, H. H. (1941). Ethnography of the Kutenai. (Memoirs of the American Anthropological Association 56) Menasha, Wisc.: American Anthropological Association.",https://d-place.org/sources/turneyhigh1941,
C45_Kutenai,curtis1911,Curtis 1911,"Curtis, E. S. (1911). The North American Indian. Volume 7. New York:",,
C45_Kutenai,chamberlain1905,Chamberlain 1905,"Chamberlain, A. F. (1905). The Kootenay Indian. Annual Archaeological Report Ontario.",,
C46_Tehuelche,falkner1935,Falkner 1935,"Falkner, T. (1935). A description of Patagonia and the Adjoining Parts of South America. Chicago: Armann & Armann.",,
C46_Tehuelche,coan1880,Coan 1880,"Coan, T. (1880). Adventures in Patagonia: a missionary's exploring trip (Vol. 2). New Yorks: Dodd, Mead & Co.",,
C47_Abipones,dobrizhoffer1822,Dobrizhoffer 1822,"Dobrizhoffer, M. (1822). An Account of the Abipones (Volumes I-III). London: John Murray.",https://d-place.org/sources/dobrizhoffer1822,
C48_Guarani,machon1898,Machon 1898,"Machon, F. (1898). The Cainguá of Paraguay. Popular Science Monthly 52, 400-405.",,
C48_Guarani,metraux1928,Métraux 1928,"Métraux, A. (1928). La civilisation matérielle des tribus Tupi-Guarani. Paris: P. Geuthner.",,
C48_Guarani,metraux1948d,Métraux 1948,"Métraux, A. (1948). The Guaraní. In J. H. Steward (Ed.), Handbook of South American Indians: The Tropical Forest Tribes (pp. 69-94). Washington: Smithsonian Institution.",,
C48_Guarani,radin1942,Radin 1942,"Radin, P. (1942). Indians of South America. Garden City, N.Y.: Doubleday, Doran & Co.",,
C48_Guarani,service1951,Service 1951,"Service, E. R. (1951). The encomienda in Paraguay. The Hispanic American Historical Review, 31(2), 230-252.",,
C48_Guarani,service1954,Service 1954,"Service, E. R. (1954). Spanish-Guarani Relations in Early Colonial Paraguay. Ann Arbor: University of Michigan Press.",,
C48_Guarani,watson1947,Watson 1947,"Watson, V. D. (1947). Ciudad Real: A Guarani-Spanish site on the alto Paraná river. American Antiquity, 13(2), 163-176.",,
C48_Guarani,watson1952,Watson 1952,"Watson, J. B. (1952). Cayuá culture change: a study in acculturation and methodology. American Anthropological Association.",https://d-place.org/sources/watson1952,
C49_Blackfoot,ewers1958,Ewers 1958,"Ewers, J. C. (1958). The Blackfeet: Raiders on The Northwestern Plains. Norman: University of Oklahoma Press.",https://d-place.org/sources/ewers1971,
C50_Tukuna,nimuendaju1952,Nimuendajú 1952,"Nimuendajú, C. (1952). The Tukuna. University of California Publications in American Archaeology and Ethnology 45. Berkeley & Los Angeles: University of California Press.",https://d-place.org/sources/nimenuendaju1952,Nimuendajú not Nimenuendaju
C51_Kuikuru,,NA,NA,,
C52_Cubeo,goldman1948,Goldman 1948,"Goldman, I. (1948). Tribes of the Uaupés-Caquetá region. In J. H. Steward (Ed.), Handbook of South American Indians: The Tropical Forest Tribes (pp. 763-798). Washington: Smithsonian Institution.",https://d-place.org/sources/goldman1948,incollection instead of article
C52_Cubeo,goldman1963,Goldman 1963,"Goldman, I. (1963). The Cubeo Indians. Illinois Studies in Anthropology 2. Urbana: University of Illinois Press,",https://d-place.org/sources/goldman1963,
C52_Cubeo,rice1910,Rice 1910,"Rice, H. (1910). The River Uaupés. The Geographical Journal 35(6), 682-700.",,
C53_Havasupai,spier1928,Spier 1928,"Spier, L. (1928). Havasupai Ethnography. Anthropological Papers of the American Museum of Natural History 29. New York: AMS Press.",https://d-place.org/sources/spier1928,
C54_Zambales_Negritos,reed1904,Reed 1904,"Reed, W. A. (1904). Negritos of Zambales (Ethnological Survey Publications, Vol. 2). Manilla: Bureau of Public Printing.",https://d-place.org/sources/reed1904,
C54_Zambales_Negritos,kroeber1943,Kroeber 1943,"Kroeber, A. L. (1943). Peoples of the Philippines (Handbook Series no.8). New York: American Museum of Natural History.",,
C54_Zambales_Negritos,faycooper1945,Fay-Cooper 1945,"Fay-Cooper, C. (1945). The Peoples of Malaysia. New York: D. Van Nostrand, Inc.",,
C55_Yanomamo,,NA,NA,,
C56_Chavante_Shavante,mayburylewis1967,Maybury-Lewis 1967,"Maybury-Lewis, D. (1967). Akwe-Shavante Society. Oxford: Clarendon Press.",https://d-place.org/sources/mayburylewis1967,
C57_Barama_River_Caribs,gillin1936,Gillin 1936,"Gillin, J. P. (1936). The Barama river Caribs of British Guiana. Cambridge: Peabody Museum of Archeology and Ethnology.",https://d-place.org/sources/gillin1936,
C58_Chippewa,,NA,NA,,
,,,,,
,,,,,
C60_Karankawa,gatschet1891,Gatschet 1891,"Gatschet, A. S. (1891). The Karankawa Indians: The Coast People of Texas. Cambridge: Peabody Museum of Archeology and Ethnology.",https://d-place.org/sources/gatschet1891,
C60_Karankawa,newcomb1961,Newcomb 1961,"Newcomb, W.W. (1961). The Indians of Texas. Austin: University of Texas Press.",https://d-place.org/sources/newcomb1961,
C60_Karankawa,schaedel1949,Schaedel 1949,"Schaedel, R. P. (1949). The Karankawa of the Texas Gulf Coast. Southwestern Journal of Anthropology 5. 117-137.",https://d-place.org/sources/schaedel1949,
C62_Ammassalik_Eskimo,holm1914,Holm 1914,"Holm, G. (1914). Ethnological Sketch of the Angmagsalik Eskimo. In W. Thalbitzer (ed.), The Ammassalik Eskimo (pp. 1-147). Copenhagen: Bianco Luno.",https://d-place.org/sources/holm1914,
C63_Amahuaca,,NA,NA,,
C64_Andamanese,man1883,Man 1883,"Man, E. H. (1883). On the Aboriginal Inhabitants of the Andaman Islands. London: Tru?bner & Co.",https://d-place.org/sources/man1883,reprinted book (instead of article)
C64_Andamanese,radcliffebrown1922,Radcliffe-Brown 1922,"Radcliffe-Brown, A. R. (1922). The Andaman Islanders. Cambridge: University Press.",https://d-place.org/sources/radcliffebrown1922,
C65_Vedda,seligmannandseligmann1911,Seligman & Seligman 1911,"Seligman, C. S. & Seligman, B. Z. (1911). The Veddas. Cambridge: Cambridge University Press.",https://d-place.org/sources/seligmannandseligmann1911,
C66_Pitjanjatjara,gouldperscomm1967,Gould 1967,"Gould, R. A. (1967). Personal Communication.",https://d-place.org/sources/gouldperscomm1992,different communication withou year
C67_Bushmen,schapera1930,Schapera 1930,"Schapera, I. (1930). The Khoisan Peoples of South Africa: Bushmen and Hottentots. London: Routledge & Sons.",https://d-place.org/sources/schapera1930,The same se for Hottentots
C68_Semang,murdock1935,Murdock 1935,"Murdock, G. P. (1935). Our Primitive Contemporaries. New York: Macmillan.",https://d-place.org/sources/murdock1934b,
C68_Semang,skeatandblagden1906,Skeat & Blagden 1906,"Skeat, W. W. & Blagden, C. O. (1906). Pagan races of the Malay Peninsula. London: Macmillan.",https://d-place.org/sources/skeatandblagden1906,
C68_Semang,schebesta1940,Schebesta 1940,"Schebesta, P. (1940). Among the Forest Dwarfs of Malaya. London: Hutchinson & Co.",https://d-place.org/sources/schebesta1927,
C69_Siriono,holmberg1969,Holmberg 1969,"Holmberg, A. R. (1969). Nomads of the Long Bow: The Siriono of Eastern Bolivia. Garden City, NY: The Natural History Press.",https://d-place.org/sources/holmberg1950 ,
C69_Siriono,ryden1941,Rydén 1941,"Rydén, Stig (1941). A Study of the Siriono Indians. Göteborg: Elanders Boktryckeri Aktiebolag.",,
C70_Ona,cooper1946b,Cooper 1946,"Cooper, J. M. (1946). The Ona. In J. H. Steward (Ed.), Handbook of South American Indians: Marginal Tribes (pp. 105-125). Washington: Smithsonian Institution.",https://d-place.org/sources/cooper1946b,
