ID,Name,Description,ColumnSpec,category,type,unit,source_comment,changes,comment
CARNEIRO_170,Labor mobilized by compensation,"Labor mobilized by the offer of compensation (rather than by a kinship obligation), e.g., food and drink, payment in kind or money, salary",,Economics,Categorical,,,,
CARNEIRO_171,Hire of individuals for unskilled manual labor,Individuals commonly hired to perform unskilled manual labor,,Economics,Categorical,,,,
CARNEIRO_172,Wage labor,"Wage labor, for which payment is made at definite rates and intervals",,Economics,Categorical,,,,
CARNEIRO_173,Enforced mobilization of labor for public projects,"Enforced mobilization of labor for community, tribal, or state projects (excluding military conscription)",,Economics,Categorical,,,,
CARNEIRO_174,Corvée,Corvée (draft labor exacted by a supra-community authority or agency),,Economics,Categorical,,,,
CARNEIRO_175,Institutional employment of artisans and laborers,"Artisans and laborers attached to or employed on a regular basis (rather than under the corvée) by political or religious institutions (tribe or state, temple or church)",,Economics,Categorical,,,,
CARNEIRO_176,Labor overseers,"Overseers, who superintend the labor of slaves or other workers (other than majordomos on private estates)",,Economics,Categorical,,,,
CARNEIRO_177,Factories,"Factories: enterprises in which workers, under unified supervision, produce goods by performing differentiated tasks (including temple workshops)",,Economics,Categorical,,,,
CARNEIRO_178,Manufacturer trademarks,"Trademarks placed on articles to identify the maker or manufacturer (e.g., potters mark, swordsmiths signature, mint marks)",,Economics,Categorical,,,,
CARNEIRO_179,Class of freemen artisans selling their products or services,Class of artisans who are freemen and who sell their products or services,,Economics,Categorical,,,,
CARNEIRO_180,Neighborhoods of specialized artisans within towns or cities,Neighborhoods of specialized artisans within towns or cities,,Economics,Categorical,,,,
CARNEIRO_181,"Certain industries concentrated in particular villages, towns, or cities","Certain industries concentrated in particular villages, towns, or cities",,Economics,Categorical,,,,
CARNEIRO_182,Guilds of craft or service specialists,"Guilds (i.e., cooperative associations) of craft or service specialists, including labor unions",,Economics,Categorical,,,,
CARNEIRO_183,Guilds of merchants or bankers,Guilds of merchants or bankers,,Economics,Categorical,,,,
CARNEIRO_184,Taxation in kind,"Taxation in kind (including produce from land farmed for the state, but excluding required contributions to community projects or ceremonies)",,Economics,Categorical,,,,
CARNEIRO_185,Taxation in currency,Taxation in currency,,Economics,Categorical,,,,
CARNEIRO_186,"Official tax, tribute, or customs collectors","Official tax, tribute, or customs collectors (excluding local chiefs)",,Economics,Categorical,,,,
CARNEIRO_187,Regular taxes,Collection of taxes in kind or currency on a regular schedule and at fixed rates,,Economics,Categorical,,,,
CARNEIRO_188,Special taxes,"Special taxes, in addition to regular taxes, levied for special needs (e.g., war expenses, public works, royal marriages; but excluding primarily religious taxes)",,Economics,Categorical,,,,
CARNEIRO_189,Tax obligations commutable into state service,Tax obligations commutable into service to the state or its representative,,Economics,Categorical,,,,
CARNEIRO_190,Assessors appraising property for tax calculation,"Assessors (as distinct from tax collectors) who appraise land or other property, and determine the amount of taxes to be paid",,Economics,Categorical,,,,
CARNEIRO_191,Taxes on land,Taxes assessed on land,,Economics,Categorical,,,,
CARNEIRO_192,Taxes on movable property,Taxes assessed on movable property (including crops and livestock),,Economics,Categorical,,,,
CARNEIRO_193,Taxes on commerce,"Taxes on commerce (e.g., sales taxes, taxes on goods brought to market, ground rents on places in market)",,Economics,Categorical,,,,
CARNEIRO_194,Taxes on luxury goods,"Taxes on the manufacture, sale, or consumption of luxury goods",,Economics,Categorical,,,,
CARNEIRO_195,Inheritance taxes,Inheritance taxes,,Economics,Categorical,,,,
CARNEIRO_196,Duties on imported goods,"Duties on goods imported, or transported across internal boundaries",,Economics,Categorical,,,,
CARNEIRO_197,Tolls,"Tolls collected for the use of roads, bridges, or ferries",,Economics,Categorical,,,,
CARNEIRO_198,Produce from private lands for the ruler or state,"Produce of certain privately-worked lands set aside for the chief, king, tribe, or state (exclufing chief's land worked by the people at large for his support)",,Economics,Categorical,,,,
CARNEIRO_199,"Superintendent of royal or state herds, lands, or forests","Superintendent who supervises the maintenance of royal or state herds, lands, or forests",,Economics,Categorical,,,,
CARNEIRO_200,The extent of landholdings limited by law or decree,The extent of landholdings limited by law or decree,,Economics,Categorical,,,,
CARNEIRO_201,State-regulated rent on private property,State fixes rent or rent ceilings on privately owned lands or dwellings,,Economics,Categorical,,,,
CARNEIRO_202,Government operates industries or exploits resources directly,"Government operates industries or exploits resources directly (e.g., weaving, armoring, goldsmithing; mines, salt deposits)",,Economics,Categorical,,,,
CARNEIRO_203,Government derives revenue from industries and resources indirectly,"Government derives revenue from industries and resources indirectly (e.g., licenses salt production, wine making, ironworking, mining)",,Economics,Categorical,,,,
CARNEIRO_204,Government registration or licensing of specialists or merchants,"Government registration or licensing of craft specialists, service specialists, or merchants for purposes of taxation or control",,Economics,Categorical,,,,
CARNEIRO_205,State contracts private enterprises for certain functions or goods,"State lets out contracts to private enterprises for the performance of certain functions (e.g., public works, tax collection) or the supply of certain goods",,Economics,Categorical,,,,
CARNEIRO_206,State sells or auctions public property,"State sells or auctions public property (e.g., public lands, confiscated property, captured war booty) to raise revenue",,Economics,Categorical,,,,
CARNEIRO_207,Government trades commodities on the open market,Government buys or sells commodities on the open market,,Economics,Categorical,,,,
CARNEIRO_208,State obtains loans from private or foreign sources,State obtains loans from private sources or from other states,,Economics,Categorical,,,,
CARNEIRO_209,Governmental supervision or regulation of commerce,"Governmental supervision or regulation of commerce (e.g., inspecting weights and measures, maintaining order in markets, settling commercial disputes, enforcing payment of debts, fixing price levels)",,Economics,Categorical,,,,
CARNEIRO_210,Government inspection or regulation of places of entertainment,"Government inspection, licensing, or regulation of places of entertainment (e.g., taverns, gambling houses, brothels)",,Economics,Categorical,,,,
CARNEIRO_211,State-directed trade,"State-directed trade (i.e., trade carried on by agents of the state with other societies)",,Economics,Categorical,,,,
CARNEIRO_212,Wage levels of certain occupations fixed by law,Wage levels of certain occupations fixed by law,,Economics,Categorical,,,,
